S28000342,F,0,15,0,0,0,0,368,0,1,0,63,0,94,0,46,0,0,0
S28000342,F,16,24,0,31,0,2,108,70,0,29,10,5,42,25,16,70,0,79
S28000342,F,25,49,0,243,0,167,451,70,9,185,81,5,118,47,63,24,0,128
S28000342,F,50,64,0,229,0,302,86,154,5,47,12,9,24,52,17,0,0,50
S28000342,F,65,90,422,0,268,14,1,25,0,0,0,1,0,43,11,0,13,16
S28000343,M,0,15,0,0,0,0,119,0,0,0,21,0,38,0,15,0,0,0
S28000343,M,16,24,0,32,0,4,33,10,0,39,7,5,15,19,3,707,0,172
S28000343,M,25,49,0,264,0,68,120,15,4,146,18,6,6,21,19,67,0,255
S28000343,M,50,64,0,68,0,41,26,23,0,12,6,5,3,4,4,1,0,25
S28000343,M,65,90,56,0,35,11,2,5,0,0,0,2,0,2,4,1,2,6
S28000343,F,0,15,0,0,0,0,111,0,0,0,16,0,53,0,22,0,0,0
S28000343,F,16,24,0,60,0,6,29,17,2,43,8,1,17,14,9,1080,0,221
S28000343,F,25,49,0,160,0,71,133,20,5,140,21,6,51,20,21,61,0,213
S28000343,F,50,64,0,68,0,46,16,21,3,7,3,5,10,25,10,1,0,25
S28000343,F,65,90,83,0,35,1,0,4,0,3,0,0,0,11,5,3,1,11
S28000344,M,0,15,0,0,0,0,257,0,0,0,65,0,43,0,39,0,0,0
S28000344,M,16,24,0,48,0,2,60,40,0,57,9,3,27,18,3,308,0,109
S28000344,M,25,49,0,549,0,231,304,43,8,413,75,9,7,33,38,29,0,276
S28000344,M,50,64,0,250,0,202,71,77,20,60,15,4,6,8,8,0,0,31
S28000344,M,65,90,152,0,143,38,5,27,0,6,1,1,0,8,3,0,1,5
S28000344,F,0,15,0,0,0,0,272,0,0,0,61,0,45,0,35,0,0,0
S28000344,F,16,24,0,43,0,4,47,40,0,70,9,4,14,11,12,475,0,165
S28000344,F,25,49,0,418,0,258,326,33,9,389,87,5,58,24,44,37,0,260
S28000344,F,50,64,0,230,0,200,54,81,3,42,6,5,13,44,8,0,0,31
S28000344,F,65,90,320,0,146,11,0,17,0,5,0,1,1,17,6,1,15,11
S28000345,M,0,15,0,0,0,0,538,0,0,0,67,0,128,0,42,0,0,0
S28000345,M,16,24,0,54,0,3,117,66,0,30,6,6,29,51,12,74,0,63
S28000345,M,25,49,0,426,0,163,504,90,1,220,75,10,11,63,40,12,0,111
S28000345,M,50,64,0,210,0,153,141,125,1,33,9,6,5,21,16,0,0,38
S28000345,M,65,90,150,0,170,35,3,48,0,4,1,0,1,15,8,0,10,14
S28000345,F,0,15,0,0,0,0,532,0,0,0,61,0,94,0,40,0,0,0
