10217,10144,0,household
8818,2905,1,household
8967,8928,0,household
9516,9550,0,household
1642,5579,1,household
8826,2803,1,household
3973,121,1,household
5254,5169,0,household
7538,2935,1,household
532,5163,1,household
7652,7743,0,household
6594,2090,1,household
558,3962,1,household
11464,11489,0,household
1691,7522,1,household
1315,4360,1,household
1146,6356,1,household
2496,7013,1,household
828,91,1,household
1222,724,1,household
5000,5102,0,household
10047,10086,0,household
6258,1538,1,household
3080,8279,1,household
2196,5644,1,household
1150,5007,1,household
2655,8921,1,household
2767,8752,1,household
2360,6792,1,household
919,5927,1,household
6341,6257,0,household
5880,5792,0,household
6057,6168,0,household
3294,113,1,household
7558,7579,0,household
1337,4205,1,household
9566,9493,0,household
4816,282,1,household
2698,8890,1,household
6006,3546,0,household
4919,849,1,household
4202,159,1,household
2846,9232,1,household
8830,2970,1,household
4411,4331,0,household
125,183,1,household
5640,5569,0,household
11336,11368,0,household
3702,831,1,household
9627,6358,0,household
4107,870,1,household
6756,2146,1,household
10830,5294,0,household
2781,7828,1,household
5902,885,1,household
258,4045,1,household
2469,8702,1,household
866,4149,1,household
11152,11197,0,household
8996,8789,0,household
146,193,1,household
1990,7338,1,household
9498,9010,0,household
2525,8691,1,household
2601,8792,1,household
8278,2947,1,household
7149,7186,0,household
2809,6276,1,household
60,4721,1,household
3237,3196,0,household
1755,4879,1,household
1447,4829,1,household
9757,8657,0,household
7694,7787,0,household
2472,8656,1,household
8658,8551,0,household
2221,582,1,household
3856,3922,0,household
9185,2897,1,household
8586,8684,0,household
4659,1158,1,household
2881,7451,1,household
1044,4881,1,household
4045,631,1,household
3478,3522,0,household
3517,3480,0,household
1913,1933,1,household
2502,6653,1,household
10903,3681,0,household
9113,9081,0,household
4907,4846,0,household
7357,231,1,household
6334,1051,1,household
1445,5064,1,household
867,5881,1,household
8850,8732,0,household
9932,9883,0,household
7424,7317,0,household
7830,2861,1,household
11653,11575,0,household
7261,7065,0,household
208,8614,1,household
147,4046,1,household
2920,6824,1,household
5271,442,1,household
7274,11601,0,household
1140,1074,1,household
5663,703,1,household
7036,1641,1,household
4450,4364,0,household
1740,6913,1,household
7751,1993,1,household
262,4997,1,household
915,5025,1,household
5351,3830,0,household
3174,8516,1,household
8473,8415,0,household
328,241,1,household
8125,8077,0,household
5030,4944,0,household
7133,2480,1,household
5532,5698,0,household
4133,691,1,household
4486,4548,0,household
6494,1346,1,household
6812,6696,0,household
10681,10610,0,household
9249,9182,0,household
1371,1349,1,household
8787,2752,1,household
6115,883,1,household
2478,8853,1,household
2738,9051,1,household
1718,5937,1,household
401,3561,1,household
8170,3171,1,household
2131,6611,1,household
8128,8076,0,household
10153,10195,0,household
3730,3791,0,household
9961,9878,0,household
3670,3573,0,household
8151,3046,1,household
4811,4927,0,household
1470,6901,1,household
1335,716,1,household
5343,5417,0,household
1011,1484,1,household
3779,3714,0,household
2358,5672,1,household
7859,8003,0,household
5099,1243,1,household
8565,505,1,household
269,1235,1,household
