"","run","beta","lambda","prob.rnd.infection","f","pctApp","pctTest","lockdown","schools","compliance","SymPriority","deaths","propInfected","mortality","days","tests","household","relations","friends","school","random","work"
"774",936,0.08,0.01,0.1,0,20,3,"false","true","Low","false",146,30.8683484277218,0.46,406,109255,0.35,0.03,0.17,0.06,0.21,0.18
"775",930,0.08,0.01,0.1,0,20,6,"false","true","High","false",136,29.2319353208691,0.45,464,117423,0.35,0.02,0.17,0.06,0.21,0.18
"776",937,0.08,0.01,0.1,0,20,6,"false","true","Low","false",144,30.2512924165274,0.46,418,124975,0.35,0.02,0.18,0.06,0.21,0.18
"777",955,0.08,0.01,0.1,0,60,1,"false","true","High","false",253,40.4604112411086,0.61,275,35422,0.33,0.03,0.18,0.06,0.22,0.18
"778",945,0.08,0.01,0.1,0,40,100,"false","true","High","false",120,24.656003420531,0.47,387,184714,0.36,0.03,0.18,0.06,0.21,0.17
"779",947,0.08,0.01,0.1,0,40,0.5,"false","true","Low","false",222,42.822715435146,0.5,279,18859,0.33,0.03,0.18,0.06,0.22,0.18
"780",950,0.08,0.01,0.1,0,40,3,"false","true","Low","false",201,37.1749523846543,0.53,339,107010,0.34,0.03,0.18,0.06,0.22,0.18
"781",957,0.08,0.01,0.1,0,60,3,"false","true","High","false",180,36.6093986862052,0.48,301,109873,0.35,0.03,0.18,0.06,0.22,0.17
"782",956,0.08,0.01,0.1,0,60,1.5,"false","true","High","false",209,38.8142807167567,0.52,280,53781,0.34,0.03,0.18,0.06,0.21,0.18
"783",943,0.08,0.01,0.1,0,40,3,"false","true","High","false",201,36.8756559256812,0.53,342,103936,0.34,0.03,0.17,0.06,0.21,0.18
"784",949,0.08,0.01,0.1,0,40,1.5,"false","true","Low","false",257,40.4536090488592,0.62,337,57245,0.34,0.03,0.18,0.06,0.21,0.19
"785",896,0.08,0.01,0.1,0,60,100,"false","true","Low","true",96,21.0061414078594,0.44,646,279770,0.37,0.02,0.17,0.06,0.2,0.18
"786",953,0.08,0.01,0.1,0,60,0,"false","true","High","false",259,41.9986784312201,0.6,309,0,0.33,0.03,0.18,0.06,0.22,0.18
"787",888,0.08,0.01,0.1,0,60,6,"false","true","High","true",78,19.8021533797178,0.38,638,251835,0.38,0.02,0.17,0.07,0.2,0.16
"788",946,0.08,0.01,0.1,0,40,0,"false","true","Low","false",274,43.7691918995608,0.61,374,0,0.33,0.03,0.17,0.06,0.22,0.19
"789",964,0.08,0.01,0.1,0,60,3,"false","true","Low","false",229,39.0076573249893,0.57,311,104782,0.34,0.03,0.17,0.06,0.21,0.18
"790",958,0.08,0.01,0.1,0,60,6,"false","true","High","false",123,30.1531464997862,0.4,346,217101,0.36,0.02,0.17,0.06,0.21,0.17
"791",954,0.08,0.01,0.1,0,60,0.5,"false","true","High","false",241,41.2310024487892,0.57,336,22748,0.34,0.03,0.17,0.06,0.22,0.18
"792",960,0.08,0.01,0.1,0,60,0,"false","true","Low","false",256,43.233762195359,0.58,286,0,0.33,0.03,0.17,0.06,0.22,0.18
"793",952,0.08,0.01,0.1,0,40,100,"false","true","Low","false",122,25.9425894974152,0.46,415,192383,0.36,0.02,0.17,0.06,0.21,0.17
"794",901,0.08,0.01,0.1,0,80,3,"false","true","High","true",60,17.1910832977028,0.34,726,189804,0.38,0.02,0.17,0.07,0.2,0.15
"795",969,0.08,0.01,0.1,0,80,1,"false","true","High","false",230,38.9308897267462,0.57,299,40279,0.34,0.03,0.17,0.07,0.21,0.18
